,VISIT_AREA_NM,ROAD_NM_ADDR,LOTNO_ADDR,SEARCH_ADDR,data-id
1169,금악 핫도그,제주특별자치도 제주시 한림읍 한창로 1286,제주특별자치도 제주시 한림읍 금악리 1968-2,제주특별자치도 제주시 한림읍 금악리 1968-2,1972322782
1170,꿀봉,제주특별자치도 제주시 한림읍 금악로1길 3,제주특별자치도 제주시 한림읍 금악리 2124-3,제주특별자치도 제주시 한림읍 금악리 2124-3,1825766134
1171,숲 가다,제주특별자치도 제주시 애월읍 장전서길 33,제주특별자치도 제주시 애월읍 장전리 1555-1,제주특별자치도 제주시 애월읍 장전리 1555-1,1944003476
1172,제주도립미술관,제주특별자치도 제주시 1100로 2894-78,제주특별자치도 제주시 연동 680-7,제주특별자치도 제주시 연동 680-7,13302614
1173,다인오세아노호텔,제주특별자치도 제주시 애월읍 애월해안로 394,제주특별자치도 제주시 애월읍 고내리 84,제주특별자치도 제주시 애월읍 고내리 84,1188703706
1174,제주 고래 감성 소품,제주특별자치도 제주시 애월읍 애월해안로 390,제주특별자치도 제주시 애월읍 고내리 82,제주특별자치도 제주시 애월읍 고내리 82,1666954591
1175,다인오세아노호텔 나라 다이닝,제주특별자치도 제주시 애월읍 애월해안로 394,제주특별자치도 제주시 애월읍 고내리 84,제주특별자치도 제주시 애월읍 고내리 84,1188703706
1176,애월동깨,제주특별자치도 제주시 애월읍 애월로11길 22,제주특별자치도 제주시 애월읍 애월리 1772-6,제주특별자치도 제주시 애월읍 애월리 1772-6,1710124989
1177,CU 제주 애월 포구점,제주특별자치도 제주시 애월읍 애월해안로 390,제주특별자치도 제주시 애월읍 고내리 82,제주특별자치도 제주시 애월읍 고내리 82,38758967
1178,투썸플레이스 제주 애월 다인 호텔점,제주특별자치도 제주시 애월읍 애월해안로 394,제주특별자치도 제주시 애월읍 고내리 84,제주특별자치도 제주시 애월읍 고내리 84,1013073973
1179,투데이 제주 펜션,제주특별자치도 서귀포시 예래로 267-2,제주특별자치도 서귀포시 하예동 351-2,제주특별자치도 서귀포시 하예동 351-2,1500198283
1180,리틀 프린스 뮤지엄,제주특별자치도 서귀포시 중문관광로110번길 15,제주특별자치도 서귀포시 색달동 2864-36,제주특별자치도 서귀포시 색달동 2864-36,1132916925
1181,삼강 식당 중문점,제주특별자치도 서귀포시 천제연로178번길 3,제주특별자치도 서귀포시 중문동 2133-1,제주특별자치도 서귀포시 중문동 2133-1,32165283
1182,우지 커피 제주 중문점,제주특별자치도 서귀포시 천제연로 167,제주특별자치도 서귀포시 중문동 2113-4,제주특별자치도 서귀포시 중문동 2113-4,1234653556
1183,중문 대표 주상절리대,제주특별자치도 서귀포시 이어도로 36-30,제주특별자치도 서귀포시 중문동 2768-1,제주특별자치도 서귀포시 중문동 2768-1,1175311212
1184,제주 국제 평화센터,제주특별자치도 서귀포시 중문관광로 227-24,제주특별자치도 서귀포시 중문동 2574-1,제주특별자치도 서귀포시 중문동 2574-1,no
1185,카페 무채색,제주특별자치도 서귀포시 중문상로82번길 26,제주특별자치도 서귀포시 중문동 1737-5,제주특별자치도 서귀포시 중문동 1737-5,1643697523
1186,예술 곧 산양,제주특별자치도 제주시 한경면 중산간서로 3181,제주특별자치도 제주시 한경면 청수리 3338,제주특별자치도 제주시 한경면 청수리 3338,1143003283
1187,애플 컨벤션,제주특별자치도 서귀포시 일주동로 8796,제주특별자치도 서귀포시 서홍동 1346,제주특별자치도 서귀포시 서홍동 1346,1323655643
1188,동홍 주공 6단지 아파트,제주특별자치도 서귀포시 중앙로 198-9,제주특별자치도 서귀포시 동홍동 1312,제주특별자치도 서귀포시 동홍동 1312,36817857
1189,전원일기,제주특별자치도 서귀포시 일주동로 8713,제주특별자치도 서귀포시 천지동 330-25,제주특별자치도 서귀포시 천지동 330-25,no
1190,메가 MGC 커피 제주 동광육거리점,제주특별자치도 서귀포시 안덕면 한창로 599,제주특별자치도 서귀포시 안덕면 동광리 826-2,제주특별자치도 서귀포시 안덕면 동광리 826-2,1597449150
1191,루스트 플레이스 서귀포점,제주특별자치도 서귀포시 신서로48번길 22,제주특별자치도 서귀포시 강정동 163,제주특별자치도 서귀포시 강정동 163,36218332
1192,동홍 주공 6단지 아파트 동생 집,제주특별자치도 서귀포시 중앙로 198-9,제주특별자치도 서귀포시 동홍동 1312,제주특별자치도 서귀포시 동홍동 1312,36817857
1193,롯데시네마 서귀포,제주특별자치도 서귀포시 월드컵로 33,제주특별자치도 서귀포시 법환동 914,제주특별자치도 서귀포시 법환동 914,1386635062
1194,대포 면옥,제주특별자치도 서귀포시 대포중앙로 11,제주특별자치도 서귀포시 대포동 741-1,제주특별자치도 서귀포시 대포동 741-1,1005412540
1195,카페 빈티지,제주특별자치도 서귀포시 일주서로 608,제주특별자치도 서귀포시 회수동 557-4,제주특별자치도 서귀포시 회수동 557-4,1754846704
1196,두모리에 리조트,제주특별자치도 제주시 한경면 두모11길 52-1,제주특별자치도 제주시 한경면 두모리 2611,제주특별자치도 제주시 한경면 두모리 2611,1848265897
1197,한림 바다체험마을,제주특별자치도 제주시 한림읍 한림해안로 200,제주특별자치도 제주시 한림읍 한수리 879-30,제주특별자치도 제주시 한림읍 한수리 879-30,17023654
1198,신도포구,,제주특별자치도 서귀포시 대정읍 신도리,제주특별자치도 서귀포시 대정읍 신도리,17069149
1199,풍차로 가는 길,제주특별자치도 제주시 한경면 한경해안로 502-3,제주특별자치도 제주시 한경면 신창리 1246-1,제주특별자치도 제주시 한경면 신창리 1246-1,1923188087
1200,고은 물 식당,제주특별자치도 서귀포시 안덕면 화순해안로 110,제주특별자치도 서귀포시 안덕면 화순리 645-1,제주특별자치도 서귀포시 안덕면 화순리 645-1,13069371
1201,제주 약수터 본점,제주특별자치도 서귀포시 중앙로 35,제주특별자치도 서귀포시 서귀동 294-20,제주특별자치도 서귀포시 서귀동 294-20,1259656724
1202,퍼스트 7호텔,제주특별자치도 서귀포시 명동로 46,제주특별자치도 서귀포시 서귀동 182,제주특별자치도 서귀포시 서귀동 182,1903492245
1203,알루 하우스 성산점,제주특별자치도 서귀포시 성산읍 혼인지로37번길 23-9,제주특별자치도 서귀포시 성산읍 온평리 1616-3,제주특별자치도 서귀포시 성산읍 온평리 1616-3,36666673
1204,네거리 식당,제주특별자치도 서귀포시 서문로29번길 20,제주특별자치도 서귀포시 서귀동 320-9,제주특별자치도 서귀포시 서귀동 320-9,19873758
1205,시흥 해녀의 집,제주특별자치도 서귀포시 성산읍 시흥하동로 114,제주특별자치도 서귀포시 성산읍 시흥리 12-64,제주특별자치도 서귀포시 성산읍 시흥리 12-64,19873092
1206,김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달로 137,제주특별자치도 서귀포시 성산읍 삼달리 437-5,제주특별자치도 서귀포시 성산읍 삼달리 437-5,11561883
1207,성읍 칠십 리 식당,제주특별자치도 서귀포시 표선면 성읍정의현로 74,제주특별자치도 서귀포시 표선면 성읍리 580,제주특별자치도 서귀포시 표선면 성읍리 580,11839070
1208,도주제 김밥,제주특별자치도 제주시 관덕로3길 9-1,제주특별자치도 제주시 삼도이동 1036-2,제주특별자치도 제주시 삼도이동 1036-2,1431439251
1209,더나인 스테이,제주특별자치도 제주시 연동6길 5,제주특별자치도 제주시 연동 263-2,제주특별자치도 제주시 연동 263-2,1906881980
1210,소수의견,제주특별자치도 제주시 원노형8길 2,제주특별자치도 제주시 노형동 930-12,제주특별자치도 제주시 노형동 930-12,1813418047
1211,크라운 호프 원 모형점,제주특별자치도 제주시 원노형로 54,제주특별자치도 제주시 노형동 937-11,제주특별자치도 제주시 노형동 937-11,1248671508
1212,제라진 밥상,제주특별자치도 제주시 조천읍 함와로 4,제주특별자치도 제주시 조천읍 함덕리 4150,제주특별자치도 제주시 조천읍 함덕리 4150,1274479359
1213,서어봉 산책로,,제주특별자치도 제주시 조천읍 함덕리 163,제주특별자치도 제주시 조천읍 함덕리 163,no
1214,제주 기념품 선물고팡 함덕점,제주특별자치도 제주시 조천읍 신북로 491-9,제주특별자치도 제주시 조천읍 함덕리 1020-2,제주특별자치도 제주시 조천읍 함덕리 1020-2,1296773467
1215,더 숲 아로마 앤데라피,제주특별자치도 제주시 삼무로 56,제주특별자치도 제주시 연동 282-3,제주특별자치도 제주시 연동 282-3,1764398696
1216,은희네 해장국 노형점,제주특별자치도 제주시 원노형로 40,제주특별자치도 제주시 노형동 939-6,제주특별자치도 제주시 노형동 939-6,1733377255
1217,이호 서프,제주특별자치도 제주시 테우해안로 172-5,제주특별자치도 제주시 이호일동 1665-1,제주특별자치도 제주시 이호일동 1665-1,1967186866
1218,오멍가멍흑돼지 제주공항점,제주특별자치도 제주시 서해안로 272,제주특별자치도 제주시 도두이동 1651-8,제주특별자치도 제주시 도두이동 1651-8,1075999008
1219,도두 슈퍼마켓,제주특별자치도 제주시 서해안로 135,제주특별자치도 제주시 도두일동 2539-1,제주특별자치도 제주시 도두일동 2539-1,1488977053
1220,공설 통 큰 가락국수 돈가스,제주특별자치도 제주시 공설로 35,제주특별자치도 제주시 오라일동 2447-27,제주특별자치도 제주시 오라일동 2447-27,1157115933
1221,한라산국립공원 관음사 지구 안내소,제주특별자치도 제주시 산록북로 588,제주특별자치도 제주시 오등동 산 180-3,제주특별자치도 제주시 오등동 산 180-3,32566229
1222,백록담,,제주특별자치도 서귀포시 토평동 산 15-1,제주특별자치도 서귀포시 토평동 산 15-1,13490872
1223,한라산국립공원 성판악탐방로,,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,no
1224,오고 정 식당,제주특별자치도 제주시 성지로 57,제주특별자치도 제주시 일도일동 1108-18,제주특별자치도 제주시 일도일동 1108-18,1095746086
1225,제로 포인트 트레일,제주특별자치도 제주시 산지로 25,제주특별자치도 제주시 건입동 1136,제주특별자치도 제주시 건입동 1136,1067495540
1226,자연몸국,제주특별자치도 제주시 중앙로 63-11,제주특별자치도 제주시 이도일동 1347-1,제주특별자치도 제주시 이도일동 1347-1,21861058
1227,마음에 온,제주특별자치도 제주시 칠성로길 29-1,제주특별자치도 제주시 일도일동 1301-4,제주특별자치도 제주시 일도일동 1301-4,no
1228,함덕 해물라면 오빠 집,제주특별자치도 제주시 조천읍 평사길 2,제주특별자치도 제주시 조천읍 함덕리 228-1,제주특별자치도 제주시 조천읍 함덕리 228-1,1773810139
1229,십원향,제주특별자치도 제주시 원노형로 23,제주특별자치도 제주시 노형동 915-2,제주특별자치도 제주시 노형동 915-2,37387790
1230,백패커스 빌라,제주특별자치도 제주시 한경면 용수3길 21-1,제주특별자치도 제주시 한경면 용수리 4245-1,제주특별자치도 제주시 한경면 용수리 4245-1,1875396463
1231,나무 식탁,제주특별자치도 서귀포시 대정읍 도원로 214,제주특별자치도 서귀포시 대정읍 신도리 1407-1,제주특별자치도 서귀포시 대정읍 신도리 1407-1,1287396500
1232,미영이네,제주특별자치도 제주시 조천읍 신촌9길 53,제주특별자치도 제주시 조천읍 신촌리 2037,제주특별자치도 제주시 조천읍 신촌리 2037,1423386861
1233,인피니티리조트,제주특별자치도 제주시 조천읍 조함해안로 376-9,제주특별자치도 제주시 조천읍 함덕리 3297,제주특별자치도 제주시 조천읍 함덕리 3297,no
1234,카페 신상,제주특별자치도 제주시 테우해안로 144,제주특별자치도 제주시 이호일동 1788-1,제주특별자치도 제주시 이호일동 1788-1,1703104715
1235,올레 정안 회 센터,제주특별자치도 서귀포시 이어도로 793,제주특별자치도 서귀포시 강정동 927-1,제주특별자치도 서귀포시 강정동 927-1,1601315816
1236,다정이네 김밥 서귀포신시가지점,제주특별자치도 서귀포시 이어도로 796,제주특별자치도 서귀포시 강정동 893-1,제주특별자치도 서귀포시 강정동 893-1,1484078519
1237,롯데마트 제주점,제주특별자치도 제주시 연북로 1,제주특별자치도 제주시 노형동 708,제주특별자치도 제주시 노형동 708,13059067
1238,신해바라기 분식 한라대점,제주특별자치도 제주시 정원로 47,제주특별자치도 제주시 노형동 742-8,제주특별자치도 제주시 노형동 742-8,1351622065
1239,카페 사분의 일,제주특별자치도 제주시 신비마을1길 1-3,제주특별자치도 제주시 해안동 29-4,제주특별자치도 제주시 해안동 29-4,1595720146
1240,제주 오라 메밀꽃 축제,,제주특별자치도 제주시 오라이동 산 76,제주특별자치도 제주시 오라이동 산 76,1661243752
1241,마농 치킨 중앙 통닭 3호점,제주특별자치도 서귀포시 중앙로62번길 23,제주특별자치도 서귀포시 서귀동 279-6,제주특별자치도 서귀포시 서귀동 279-6,no
1242,처갓집 연탄구이,제주특별자치도 서귀포시 하신상로 12,제주특별자치도 서귀포시 하효동 188,제주특별자치도 서귀포시 하효동 188,32169090
1243,천짓골식당,제주특별자치도 서귀포시 중앙로41번길 4,제주특별자치도 서귀포시 서귀동 294-10,제주특별자치도 서귀포시 서귀동 294-10,11708750
1244,강창학 공원,제주특별자치도 서귀포시 중산간서로 95,제주특별자치도 서귀포시 강정동 1460,제주특별자치도 서귀포시 강정동 1460,no
1245,이약이야요,제주특별자치도 서귀포시 중정로91번길 27,제주특별자치도 서귀포시 서귀동 271-36,제주특별자치도 서귀포시 서귀동 271-36,1997683111
1246,오른 바,제주특별자치도 서귀포시 보목포로 78,제주특별자치도 서귀포시 보목동 274-9,제주특별자치도 서귀포시 보목동 274-9,no
1247,맥도날드 제주 노형 DT점,제주특별자치도 제주시 노연로 7,제주특별자치도 제주시 노형동 903-5,제주특별자치도 제주시 노형동 903-5,no
1248,펠리시아 호텔,제주특별자치도 서귀포시 일주동로 9123,제주특별자치도 서귀포시 법환동 17,제주특별자치도 서귀포시 법환동 17,1933811794
1249,제주 환상 자전거길 6구간,,제주특별자치도 서귀포시 남원읍 태흥리 1120-5,제주특별자치도 서귀포시 남원읍 태흥리 1120-5,no
1250,가문도 포구,,제주특별자치도 제주시 애월읍 하귀2리 2696-1,제주특별자치도 제주시 애월읍 하귀2리 2696-1,no
1251,알자 크지 해변,,제주특별자치도 제주시 내도동 465-2,제주특별자치도 제주시 내도동 465-2,no
1252,수목원길 야시장,,제주특별자치도 제주시 연동 1320-2,제주특별자치도 제주시 연동 1320-2,no
1253,더 스테이 센추리호텔,제주특별자치도 제주시 애월읍 일주서로 7113,제주특별자치도 제주시 애월읍 하귀1리 544-2,제주특별자치도 제주시 애월읍 하귀1리 544-2,38278721
1254,제주 만주,제주특별자치도 제주시 애월읍 일주서로 6707,제주특별자치도 제주시 애월읍 신엄리 1251-1,제주특별자치도 제주시 애월읍 신엄리 1251-1,1431848290
1255,황제 망고,제주특별자치도 제주시 애월읍 일주서로 6534,제주특별자치도 제주시 애월읍 하가리 1202-1,제주특별자치도 제주시 애월읍 하가리 1202-1,1246157347
1256,구이 사이 식당,제주특별자치도 제주시 애월읍 신엄9길 2,제주특별자치도 제주시 애월읍 신엄리 1252-4,제주특별자치도 제주시 애월읍 신엄리 1252-4,16870132
1257,성미 가든,제주특별자치도 제주시 조천읍 미래로 604,제주특별자치도 제주시 조천읍 교래리 532,제주특별자치도 제주시 조천읍 교래리 532,no
1258,에이 바우트 커피 함덕해수욕장점,제주특별자치도 제주시 조천읍 조함해안로 526,제주특별자치도 제주시 조천읍 함덕리 1004-28,제주특별자치도 제주시 조천읍 함덕리 1004-28,1620606114
1259,민한 우정국 식당,제주특별자치도 제주시 일주서로 7315,제주특별자치도 제주시 외도이동 1925-3,제주특별자치도 제주시 외도이동 1925-3,no
1260,새미 언덕,제주특별자치도 제주시 중산간동로 188-6,제주특별자치도 제주시 회천동 2219-5,제주특별자치도 제주시 회천동 2219-5,no
1261,부두식당,제주특별자치도 서귀포시 대정읍 하모항구로 62,제주특별자치도 서귀포시 대정읍 하모리 770-9,제주특별자치도 서귀포시 대정읍 하모리 770-9,13105260
1262,산양큰엉곶,,제주특별자치도 제주시 한경면 청수리 956-6,제주특별자치도 제주시 한경면 청수리 956-6,1518633268
1263,어진이네 횟집,제주특별자치도 서귀포시 보목포로 93,제주특별자치도 서귀포시 보목동 261,제주특별자치도 서귀포시 보목동 261,1931182602
1264,호텔서 귀 피아나,제주특별자치도 서귀포시 보목로64번길 178,제주특별자치도 서귀포시 보목동 1453,제주특별자치도 서귀포시 보목동 1453,1614965131
1265,보래드베이커스,제주특별자치도 서귀포시 보목로64번길 178,제주특별자치도 서귀포시 보목동 1453,제주특별자치도 서귀포시 보목동 1453,1101231772
1266,피닉스 제주 유민미술관,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 21,제주특별자치도 서귀포시 성산읍 고성리 21,no
1267,호텔서귀피아나,제주특별자치도 서귀포시 보목로64번길 178,제주특별자치도 서귀포시 보목동 1453,제주특별자치도 서귀포시 보목동 1453,1114138745
1268,용머리해안 기후변화 홍보관,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-34,제주특별자치도 서귀포시 안덕면 사계리 116-11,제주특별자치도 서귀포시 안덕면 사계리 116-11,31149187
1269,하멜기념비,,제주특별자치도 서귀포시 안덕면 사계리 112-3,제주특별자치도 서귀포시 안덕면 사계리 112-3,17083448
1270,산방 연대,,제주특별자치도 서귀포시 안덕면 사계리 산 33-2,제주특별자치도 서귀포시 안덕면 사계리 산 33-2,no
1271,고객식당,제주특별자치도 제주시 오현길 78-6,제주특별자치도 제주시 이도일동 1429,제주특별자치도 제주시 이도일동 1429,19329185
1272,카페글렌코,제주특별자치도 제주시 구좌읍 비자림로 1202,제주특별자치도 제주시 구좌읍 송당리 2635-8,제주특별자치도 제주시 구좌읍 송당리 2635-8,1281784128
1273,갈치옥 함덕,제주특별자치도 제주시 조천읍 조함해안로 530,제주특별자치도 제주시 조천읍 함덕리 1004-30,제주특별자치도 제주시 조천읍 함덕리 1004-30,1876373893
1274,배스킨라빈스 제주함덕점,제주특별자치도 제주시 조천읍 조함해안로 526,제주특별자치도 제주시 조천읍 함덕리 1004-28,제주특별자치도 제주시 조천읍 함덕리 1004-28,1981990302
1275,바농 오름,,제주특별자치도 제주시 조천읍 교래리 산 108,제주특별자치도 제주시 조천읍 교래리 산 108,17037218
1276,골막 식당,제주특별자치도 제주시 천수로 12,제주특별자치도 제주시 이도2동 362-1,제주특별자치도 제주시 이도2동 362-1,11859000
1277,성산 묵은지 고등어 쌈밥 제주 성산 일출봉점,제주특별자치도 서귀포시 성산읍 성산중앙로64번길 5-4,제주특별자치도 서귀포시 성산읍 성산리 296-3,제주특별자치도 서귀포시 성산읍 성산리 296-3,1720373522
1278,코업시티 호텔 성산,제주특별자치도 서귀포시 성산읍 성산등용로 28,제주특별자치도 서귀포시 성산읍 성산리 250,제주특별자치도 서귀포시 성산읍 성산리 250,1236944819
1279,풍원,제주특별자치도 제주시 우도면 우도해안길 340,제주특별자치도 제주시 우도면 연평리 2427-1,제주특별자치도 제주시 우도면 연평리 2427-1,34745678
1280,우도사랑 협동조합,제주특별자치도 제주시 우도면 하고수길 34-5,제주특별자치도 제주시 우도면 연평리 1353,제주특별자치도 제주시 우도면 연평리 1353,1309954396
1281,우도 올레 보트,제주특별자치도 제주시 우도면 우도해안길 181,제주특별자치도 제주시 우도면 연평리 2615-1,제주특별자치도 제주시 우도면 연평리 2615-1,no
1282,슈거 탱크,제주특별자치도 제주시 우도면 우도봉길 41,제주특별자치도 제주시 우도면 연평리 344,제주특별자치도 제주시 우도면 연평리 344,1326334028
1283,쇠머리 오름,,제주특별자치도 제주시 우도면 연평리 산 23,제주특별자치도 제주시 우도면 연평리 산 23,no
1284,소금 바치우 순이네,제주특별자치도 제주시 구좌읍 해맞이해안로 2196,제주특별자치도 제주시 구좌읍 종달리 42-5,제주특별자치도 제주시 구좌읍 종달리 42-5,36690197
1285,애월 스테이인제주,제주특별자치도 제주시 애월읍 애월해안로 708,제주특별자치도 제주시 애월읍 구엄리 609-1,제주특별자치도 제주시 애월읍 구엄리 609-1,1016282016
1286,바다 보는 날,제주특별자치도 제주시 애월읍 애월해안로 722,제주특별자치도 제주시 애월읍 구엄리 600-1,제주특별자치도 제주시 애월읍 구엄리 600-1,1295045491
1287,노형수퍼마켙,제주특별자치도 제주시 노형로 89,제주특별자치도 제주시 해안동 2137-1,제주특별자치도 제주시 해안동 2137-1,1573461858
1288,수목원 테마파크,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동 1320,제주특별자치도 제주시 연동 1320,30811752
1289,그러므로 파트 2,제주특별자치도 제주시 수목원길 16-14,제주특별자치도 제주시 노형동 128,제주특별자치도 제주시 노형동 128,1875960678
1290,한 아름 정육 마트,제주특별자치도 제주시 서문로6길 4-1,제주특별자치도 제주시 용담1동 143-1,제주특별자치도 제주시 용담1동 143-1,no
1291,라온 샘,제주특별자치도 제주시 서문로4길 13-2,제주특별자치도 제주시 용담1동 135-9,제주특별자치도 제주시 용담1동 135-9,16742694
1292,제주 성심당 본점,제주특별자치도 제주시 서해안로 504,제주특별자치도 제주시 용담삼동 2319-6,제주특별자치도 제주시 용담삼동 2319-6,35162734
1293,애월 스테이 인제 주,제주특별자치도 제주시 애월읍 애월해안로 708,제주특별자치도 제주시 애월읍 구엄리 609-1,제주특별자치도 제주시 애월읍 구엄리 609-1,1016282016
1294,88돼지,제주특별자치도 제주시 제원길 7,제주특별자치도 제주시 연동 261-10,제주특별자치도 제주시 연동 261-10,35014081
1295,메가 MGC 커피 제주롯데시티점,제주특별자치도 제주시 도령로 74,제주특별자치도 제주시 연동 251-17,제주특별자치도 제주시 연동 251-17,1806103734
1296,이창현 정형외과의원,제주특별자치도 제주시 연북로 50,제주특별자치도 제주시 노형동 726-2,제주특별자치도 제주시 노형동 726-2,36923514
1297,대정 약국,제주특별자치도 제주시 과원북4길 35,제주특별자치도 제주시 노형동 727-1,제주특별자치도 제주시 노형동 727-1,19534375
1298,두 갓,제주특별자치도 제주시 해안마을북길 13-39,제주특별자치도 제주시 해안동 2363-1,제주특별자치도 제주시 해안동 2363-1,1444897571
1299,646미터퍼세크,제주특별자치도 제주시 한경면 일주서로 4469,제주특별자치도 제주시 한경면 금등리 646,제주특별자치도 제주시 한경면 금등리 646,1102157964
1300,뚜레쥬르 제주 한림점,제주특별자치도 제주시 한림읍 명랑로4길 27,제주특별자치도 제주시 한림읍 한림리 971-1,제주특별자치도 제주시 한림읍 한림리 971-1,1626762026
1301,뽈 살집 한림점,제주특별자치도 제주시 한림읍 한림상로 194,제주특별자치도 제주시 한림읍 한림리 1252-8,제주특별자치도 제주시 한림읍 한림리 1252-8,1330534461
1302,CU 한림 사이로점,제주특별자치도 제주시 한림읍 한림상로 186,제주특별자치도 제주시 한림읍 한림리 1252-6,제주특별자치도 제주시 한림읍 한림리 1252-6,1694907200
1303,비스트로 낭,제주특별자치도 서귀포시 안덕면 화순로 154-25,제주특별자치도 서귀포시 안덕면 화순리 1053-128,제주특별자치도 서귀포시 안덕면 화순리 1053-128,81071660
1304,돈내코 주유소,제주특별자치도 서귀포시 516로 438,제주특별자치도 서귀포시 상효동 1295,제주특별자치도 서귀포시 상효동 1295,13283190
1305,심야 식당,제주특별자치도 서귀포시 월드컵로 157,제주특별자치도 서귀포시 강정동 595-7,제주특별자치도 서귀포시 강정동 595-7,1711770954
1306,콴도 제주,제주특별자치도 서귀포시 남원읍 태위로151번길 14-12,제주특별자치도 서귀포시 남원읍 위미리 1996-6,제주특별자치도 서귀포시 남원읍 위미리 1996-6,469727183
1307,벨라 위미,제주특별자치도 서귀포시 남원읍 태위로151번길 14-14,제주특별자치도 서귀포시 남원읍 위미리 1996-4,제주특별자치도 서귀포시 남원읍 위미리 1996-4,1971781560
1308,요거프레소 제주 성산점,제주특별자치도 서귀포시 성산읍 한도로 32,제주특별자치도 서귀포시 성산읍 오조리 634,제주특별자치도 서귀포시 성산읍 오조리 634,1071670533
1309,다이소 제주 세화점,제주특별자치도 제주시 구좌읍 일주동로 3126,제주특별자치도 제주시 구좌읍 세화리 1560-3,제주특별자치도 제주시 구좌읍 세화리 1560-3,no
1310,동동 스테이,제주특별자치도 제주시 구좌읍 하도7길 71,제주특별자치도 제주시 구좌읍 하도리 779-1,제주특별자치도 제주시 구좌읍 하도리 779-1,1263789575
1311,제주 레일바이크,제주특별자치도 제주시 구좌읍 용눈이오름로 641,제주특별자치도 제주시 구좌읍 종달리 4639,제주특별자치도 제주시 구좌읍 종달리 4639,33359625
1312,명진 전복,제주특별자치도 제주시 구좌읍 해맞이해안로 1282,제주특별자치도 제주시 구좌읍 평대리 515-28,제주특별자치도 제주시 구좌읍 평대리 515-28,17032617
1313,김녕 빵집,제주특별자치도 제주시 구좌읍 김녕로 77-3,제주특별자치도 제주시 구좌읍 김녕리 3634,제주특별자치도 제주시 구좌읍 김녕리 3634,1645664731
1314,산지 해장국 삼양점,제주특별자치도 제주시 일주동로 332-1,제주특별자치도 제주시 삼양이동 2143-4,제주특별자치도 제주시 삼양이동 2143-4,1943511020
1315,CU 제주 삼양점,제주특별자치도 제주시 일주동로 326,제주특별자치도 제주시 삼양이동 2142-6,제주특별자치도 제주시 삼양이동 2142-6,1193251789
1316,메가 MGC 커피 제주 삼화지구점,제주특별자치도 제주시 건주로 33,제주특별자치도 제주시 도련일동 1937-5,제주특별자치도 제주시 도련일동 1937-5,1323791515
1317,귤귤 스토어,제주특별자치도 제주시 애월읍 애월로1길 6,제주특별자치도 제주시 애월읍 애월리 2501,제주특별자치도 제주시 애월읍 애월리 2501,no
1318,새신 테크 이호 주유소,제주특별자치도 제주시 일주서로 7629,제주특별자치도 제주시 이호이동 803-9,제주특별자치도 제주시 이호이동 803-9,1924723915
1319,메트로 렌터카,제주특별자치도 제주시 억삼길 10,제주특별자치도 제주시 이호이동 168,제주특별자치도 제주시 이호이동 168,11539970
1320,애월 오션 스테이,제주특별자치도 제주시 애월읍 애월해안로 412,제주특별자치도 제주시 애월읍 고내리 76-1,제주특별자치도 제주시 애월읍 고내리 76-1,1604784907
1321,거문 오름,,제주특별자치도 제주시 조천읍 선흘리 산 102-1,제주특별자치도 제주시 조천읍 선흘리 산 102-1,no
1322,유동룡 이타미준 미술관,제주특별자치도 제주시 한림읍 용금로 906-10,제주특별자치도 제주시 한림읍 월림리 115-161,제주특별자치도 제주시 한림읍 월림리 115-161,1182253119
1323,한림공원,제주특별자치도 제주시 한림읍 한림로 300,제주특별자치도 제주시 한림읍 협재리 2487,제주특별자치도 제주시 한림읍 협재리 2487,11491281
1324,제주 스위스 마을,제주특별자치도 제주시 조천읍 함와로 566-27,제주특별자치도 제주시 조천읍 와산리 1559-18,제주특별자치도 제주시 조천읍 와산리 1559-18,1551144882
1325,해녀촌,제주특별자치도 제주시 구좌읍 동복로 33,제주특별자치도 제주시 구좌읍 동복리 1502-1,제주특별자치도 제주시 구좌읍 동복리 1502-1,12886879
1326,독채펜션 하이제,제주특별자치도 서귀포시 성산읍 신풍하동로 13,제주특별자치도 서귀포시 성산읍 신풍리 816-1,제주특별자치도 서귀포시 성산읍 신풍리 816-1,1661777830
1327,해피 렌터카,제주특별자치도 제주시 다호7길 28,제주특별자치도 제주시 용담2동 1942,제주특별자치도 제주시 용담2동 1942,12056709
1328,성산 해물라면 몰아 농-그대와 함께라면 화산 버거,제주특별자치도 서귀포시 성산읍 환해장성로 929,제주특별자치도 서귀포시 성산읍 고성리 594-2,제주특별자치도 서귀포시 성산읍 고성리 594-2,379792756
1329,오조 포구,,제주특별자치도 서귀포시 성산읍 오조리,제주특별자치도 서귀포시 성산읍 오조리,1227133366
1330,배덕 제주 성산점,제주특별자치도 서귀포시 성산읍 고성동서로 79,제주특별자치도 서귀포시 성산읍 오조리 57-57,제주특별자치도 서귀포시 성산읍 오조리 57-57,no
